Mussel,Finfish,Kelp ,Halibut ,Viewshed_max,Benthic ,Disease 
6.73E+07,1.67E+07,0,506.38,0,0.67617,6.36E-18
6.70E+07,1.62E+07,0,475.51,0,0.68499,1.07E-16
6.67E+07,1.59E+07,0,416.35,0,0.69254,1.63E-17
6.64E+07,1.55E+07,0,306.18,41.557,0.6998,7.02E-17
6.79E+07,1.73E+07,0,569.35,0,0.66928,7.55E-18
6.79E+07,1.69E+07,0,593.96,0,0.67763,2.96E-17
6.76E+07,1.64E+07,0,559.7,0,0.68593,2.81E-17
6.73E+07,1.61E+07,0,485.33,0,0.69485,1.48E-17
6.64E+07,1.59E+07,0,403.58,183.09,0.70126,8.88E-17
6.55E+07,1.54E+07,0,200.74,350.01,0.70764,6.38E-17
6.78E+07,1.78E+07,0,88.351,0,0.61309,2.93E-16
6.81E+07,1.71E+07,0,536.48,0,0.62366,2.18E-17
6.81E+07,1.69E+07,0,613.84,0,0.6286,1.30E-17
6.88E+07,1.75E+07,0,640.36,0,0.67115,1.25E-17
6.85E+07,1.70E+07,0,672.04,0,0.67836,1.25E-17
6.82E+07,1.66E+07,0,608.41,0,0.68969,1.25E-17
6.76E+07,1.63E+07,0,550.72,10.33,0.69618,1.25E-17
6.67E+07,1.61E+07,0,481.3,252.02,0.70188,1.27E-17
6.56E+07,0,0,254.99,391.53,0,0
0,1.86E+07,0,0,0,0.6014,7.62E-17
6.79E+07,1.67E+07,0,620.28,70.629,0.69845,1.27E-17
6.70E+07,1.65E+07,0,545.44,294.41,0.70408,1.27E-17
6.53E+07,0,0,336.46,451.68,0,0
6.29E+07,0,0,98.367,647.55,0,0
0,1.88E+07,0,0,0,0.60219,7.62E-17
0,1.91E+07,0,4.6295,0,0.60398,7.62E-17
0,1.93E+07,0,105.78,0,0.60697,7.62E-17
7.21E+07,1.96E+07,0,171.4,0.66248,0.61147,7.62E-17
7.28E+07,1.99E+07,0,245.96,4.1235,0.61776,7.62E-17
5.22E+07,0,0,423.3,605.96,0,0
0,2.07E+07,0,0,5.3629,0.61022,7.62E-17
5.69E+07,0,0,59.151,0,0,0
5.69E+07,0,0,0,0,0,0
5.70E+07,0,0,4.1007,0,0,0
5.67E+07,0,0,0,0,0,0
5.53E+07,0,0,0,0,0,0
5.56E+07,0,0,0,0,0,0
5.59E+07,0,0,0,0,0,0
5.43E+07,0,0,0,0,0,0
6.75E+07,2.35E+07,0,468.47,1436.2,0.63728,7.04E-16
6.72E+07,2.40E+07,0,309.41,1488.8,0.62797,4.37E-15
6.73E+07,2.36E+07,0,551.71,1708.9,0.64585,4.37E-15
0,2.45E+07,0,0,0,0.59904,4.37E-15
0,2.42E+07,0,0.35818,265.23,0.61525,4.37E-15
0,2.45E+07,0,0,0,0.58964,4.37E-15
0,1.94E+07,0,0,0,0.59477,4.37E-15
6.61E+07,1.97E+07,0,181.94,93.265,0.63484,4.37E-15
0,2.47E+07,0,0,0,0.58436,4.37E-15
6.52E+07,2.40E+07,0,354.66,667.83,0.63413,4.37E-15
6.55E+07,2.37E+07,0,592.15,3080.1,0.65285,4.37E-15
6.52E+07,0,0,1263.8,6379.1,0,0
0,1.86E+07,0,0,0,0.34291,4.37E-15
6.44E+07,2.39E+07,0,339.07,1521.1,0.63724,4.37E-15
6.47E+07,1.97E+07,0,622.51,3255.9,0.64192,4.37E-15
6.47E+07,2.32E+07,0,794.64,4885.3,0.67178,4.37E-15
6.51E+07,2.29E+07,0,1172.2,5707.1,0.70044,4.37E-15
6.43E+07,0,0,1213.4,6414.4,0,0
0,2.42E+07,0,0,17.624,0.60098,4.37E-15
6.35E+07,2.38E+07,0,314.4,1998.3,0.63826,4.37E-15
6.43E+07,2.27E+07,0,1170.6,5342.4,0.71278,4.37E-15
6.35E+07,0,0,1076.7,6762.9,0,0
0,2.41E+07,0,0,269.44,0.59984,4.37E-15
0,2.39E+07,0,0,1248.9,0.61718,4.37E-15
0,1.84E+07,0,0,1413.6,0.5962,2.17E-14
5.86E+07,2.33E+07,0,711.71,1608.2,0.67105,2.17E-14
0,2.36E+07,0,0,1545.6,0.61639,2.17E-14
5.65E+07,2.25E+07,0,778.31,1549.1,0.67648,9.71E-14
0,2.28E+07,0,0,1562.8,0.62235,9.71E-14
0,2.24E+07,0,60.425,1402.4,0.63826,9.71E-14
4.77E+07,0,0,0,642.86,0,0
5.23E+07,1.77E+07,0,791.18,5.18E+05,0.65611,9.71E-14
5.17E+07,2.18E+07,0,625.29,5.18E+05,0.69163,9.71E-14
5.07E+07,1.70E+07,0,319.69,1.95E+06,0.65711,9.71E-14
5.15E+07,1.98E+07,0,673.48,1.43E+06,0.6634,9.71E-14
5.17E+07,1.95E+07,0,475.23,1478.4,0.67114,9.71E-14
4.90E+07,0,0,0,1.43E+06,0,0
5.27E+07,1.85E+07,0,502.6,1500.7,0.63773,4.79E-13
4.94E+07,1.94E+07,0,353.59,1602.7,0.67761,4.79E-13
5.17E+07,1.83E+07,0,481.69,1599.8,0.64497,4.79E-13
4.75E+07,1.91E+07,0,88.201,1722,0.6873,4.79E-13
5.06E+07,1.80E+07,0,431,1833,0.65135,4.79E-13
4.56E+07,1.90E+07,0,0,1838.8,0.69686,4.79E-13
