TARGET_FID,POINT_X,POINT_Y,class_new,h,m,s,u,MIN_depth,MAX_depth,RANGE_depth,MEAN_depth,STD_depth,DIST_NEW,BLOCK10_ID,OVER_LAND,dist_notes,depth_notes,MPA,PLATFORM,NAVIGATION,ANCHORAGE,MILITARY,OTHER,Status,Descriptio,trawlable,rec_fish,outfall,halibut,class_old,mussel.upfront.cost,mussel.yield ,mussel.annual.operating.costs,mussel.annual.profit,mussel.10.year.NPV ,kelp.yield,kelp.annual.operating.cost,kelp.upfront.cost ,kelp.10.year.NPV ,fish.yield,fish.annual.operating.costs,fish.price,fish.annual.revenue,halibut.10.year.NPV ,res_views_8k,res_views_3k,park_view_3k,park_views_8k,TOC.flux ,disease.risk 
960,-119.2449504,32.47638548,undev,0.882713959,,0.06651876,0.050767802,-95.59999847,-78.30000305,17.29999542,-83.64166673,3.698376218,179580.324,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961,-119.2343311,32.47631303,undev,0.804850491,,0.195149665,,-80.80000305,-71.69999695,9.100006104,-77.85454525,2.354987112,179166.1503,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
962,-119.2237119,32.47623958,undev,0.759346422,,0.240653477,,-74.59999847,-36.29999924,38.29999924,-60.907639,10.63694496,178751.9775,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
963,-119.2130927,32.47616511,undev,0.777778599,,0.222222013,,-47.79999924,-36.29999924,11.5,-41.83560597,2.459709628,178337.8047,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
964,-119.2024735,32.47608962,undev,0.496807995,,0.503192222,,-76.40000153,-43.40000153,33,-55.45416678,11.38650455,177923.6319,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
965,-119.1918544,32.47601313,undev,0.07750525,,0.922495151,,-77.80000305,-73.40000153,4.400001526,-76.54469635,1.030247899,177509.4583,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
966,-119.1812352,32.47593563,undev,0.193441195,,0.806559249,,-86.90000153,-73.19999695,13.70000458,-76.77222162,1.250746611,177095.2854,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
967,-119.1706161,32.47585711,undev,0.648882556,,0.351117712,,-94.5,-62.90000153,31.59999847,-79.75984848,10.06067879,176681.1126,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
968,-119.159997,32.47577758,undev,0.294753842,,0.705246006,,-95.80000305,-82.5,13.30000305,-91.09861114,2.649711428,176266.9398,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
969,-119.149378,32.47569704,undev,0.219477274,,0.780523274,,-95.40000153,-84.40000153,11,-91.13863696,4.17448303,175852.767,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
970,-119.1387589,32.47561549,undev,0.255581919,,0.744417733,,-97.19999695,-78.90000153,18.29999542,-92.21666691,4.114304267,175438.5934,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
971,-119.1281399,32.47553292,undev,0.327612126,,0.672388375,,-99.69999695,-77.80000305,21.8999939,-93.19027763,4.895041335,175024.4205,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1348,-119.2342454,32.48534597,undev,0.386073194,,0.613927098,,-90.30000305,-79.30000305,11,-83.85619859,3.578837622,178166.2615,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1349,-119.223625,32.48527251,undev,0.706713643,,0.293286341,,-85.40000153,-47.5,37.90000153,-71.30909125,10.9744639,177752.0878,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1350,-119.2130046,32.48519803,undev,0.595342626,,0.404657698,,-75.30000305,-43.5,31.80000305,-53.28016552,5.373375572,177337.915,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1351,-119.2023842,32.48512254,undev,0.43910826,,0.560891849,,-87.30000305,-47.5,39.80000305,-63.67272738,13.03068691,176923.7422,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1352,-119.1917639,32.48504604,undev,0.113291452,,0.886708493,,-93.40000153,-76.09999847,17.30000305,-83.23471038,5.875480703,176509.5694,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1353,-119.1811435,32.48496853,undev,0.241821848,0.0045724,0.753606601,,-96,-76.80000305,19.19999695,-89.80454566,6.731763602,176095.3958,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1354,-119.1705232,32.48489,undev,0.214108935,0.260031998,0.525859869,,-98.40000153,-90.30000305,8.099998474,-95.71404935,1.415632936,175681.2229,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1355,-119.1599029,32.48481046,undev,0.468732399,0.39251399,0.138753593,,-97.09999847,-94.80000305,2.299995422,-96.39090891,0.534485301,175267.0501,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1734,-119.2447812,32.49445125,undev,,0.880877018,0.00406263,0.115060002,-95.30000305,-90,5.300003052,-92.61944453,1.331158765,177580.5446,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1735,-119.2341596,32.49437879,undev,0.041577533,0.740333974,0.218087879,,-90.90000153,-87.69999695,3.200004578,-89.74318221,0.593167436,177166.3718,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1736,-119.223538,32.49430531,undev,0.243050506,0.335637003,0.421312519,,-89.69999695,-78.5,11.19999695,-86.58958281,2.452683213,176752.199,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1737,-119.2129164,32.49423083,undev,0.476553476,0.0142803,0.509166903,,-85.90000153,-56.5,29.40000153,-79.36136358,7.046465485,176338.0253,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1738,-119.2022948,32.49415533,undev,0.267221948,0.030337701,0.702440577,,-93.90000153,-57.70000076,36.20000076,-85.91250006,7.1847241,175923.8525,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1739,-119.1916733,32.49407882,undev,0.077317872,0.0385506,0.8841319,,-94.59999847,-88.80000305,5.799995422,-92.75075728,0.84919737,175509.6797,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1740,-119.1810518,32.4940013,undev,0.047480519,0.323179007,0.629341166,,-99.40000153,-92.69999695,6.700004578,-96.60833316,2.41619247,175095.5069,897,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1916,-117.3122271,32.46459919,undev,,,,1,-46.70000076,-19.29999924,27.40000153,-22.48030304,5.179877185,27584.84961,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1921,-117.2591591,32.46330625,undev,,,,1,-97.69999695,-62.70000076,34.99999619,-76.27569461,8.863323715,25513.77324,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1922,-117.2485457,32.46304463,undev,,,,1,-89.90000153,-62.79999924,27.10000229,-77.95530293,7.547539526,25099.56416,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1923,-117.2379324,32.462782,undev,,,,1,-74.30000305,-55.79999924,18.50000381,-59.63750013,3.887781489,24778.55234,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1924,-117.2273192,32.46251835,undev,,,,1,-56.29999924,-51.79999924,4.5,-54.00378788,1.274541156,25078.85381,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1925,-117.216706,32.4622537,undev,,,,1,-51.90000153,-47,4.900001526,-49.43194448,1.231115843,25493.0627,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1926,-117.2060929,32.46198804,undev,,,,1,-48,-42.79999924,5.200000763,-45.45075749,1.100447364,25907.27227,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1927,-117.1954798,32.46172136,undev,,,,1,-44,-40.5,3.5,-41.76874993,0.916323242,26321.48555,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1928,-117.1848669,32.46145368,undev,,,,1,-40.79999924,-31.89999962,8.899999619,-38.0944445,2.056114755,26735.69932,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1929,-117.174254,32.46118498,undev,,,,1,-35.09999847,-21.5,13.59999847,-26.97575766,4.25111614,27149.91426,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1930,-117.1636411,32.46091527,undev,,,,1,-22,-19.79999924,2.200000763,-20.17083294,0.579736166,27564.13281,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
